# Teff logg B vsini
3378 2.961 1.575 37.796
3122 4.524 1.476 2.49
3222 3.451 2.269 47.128
3474 4.033 0.682 27.532
3589 3.192 0.963 21.764
3258 4.3 1.988 56.818
3011 2.373 0.257 12.189
3338 5.119 2.794 32.016
3318 3.68 0.006 50.893
3043 3.805 2.952 17.316
3284 2.627 0.841 34.443
3555 4.858 2.205 13.139
3519 2.519 2.487 8.65
3169 4.973 0.559 41.995
3083 3.151 1.734 24.857
3428 4.341 1.224 46.413
3445 3.052 2.865 9.585
3094 4.439 0.176 31.13
3157 2.605 2.101 20.877
3503 4.886 0.853 54.212
3543 2.726 0.384 49.733
3268 4.76 2.57 28.419
3059 3.595 1.207 38.681
3330 3.892 1.835 5.094
3364 2.282 1.343 23.971
3032 5.208 1.606 43.808
3237 3.292 0.625 6.044
3564 4.199 2.424 41.109
3453 3.542 1.955 35.33
3196 3.944 1.094 15.745
3147 2.861 2.638 53.497
3400 4.625 0.311 18.202
3403 3.383 0.773 3.929
3134 4.103 2.185 38.981
3193 2.936 0.073 28.73
3466 4.55 2.974 48.555
3576 2.394 1.754 54.768
3233 5.096 1.292 19.457
3020 3.263 2.466 29.724
3368 4.228 0.492 10.124
3324 2.696 2.343 18.748
3074 4.79 0.708 52.099
3273 3.706 1.502 14.33
3528 3.781 1.449 35.891
3488 3.128 0.23 39.938
3164 4.363 2.72 6.363
3109 2.447 0.989 44.114
3439 5.044 2.061 22.812
3413 2.537 0.599 32.33
3088 4.955 2.351 11.01
3185 3.027 1.369 55.653
3514 4.465 1.68 22.061
3549 3.616 2.711 26.125
3299 3.869 0.338 47.669
3049 2.797 1.882 3.043
3303 4.688 1.068 36.376
3351 3.361 2.122 45.0
3008 4.131 0.92 25.417
3244 2.308 2.845 42.543
3593 5.184 0.109 7.249
3478 2.838 1.14 13.444
3210 4.647 1.814 33.286
3118 3.469 0.452 16.143
3391 4.016 2.59 51.212
3384 3.238 0.52 25.868
3116 4.254 2.53 45.785
3212 2.42 1.261 7.914
3485 5.073 1.689 43.112
3595 2.914 2.908 33.467
3252 4.571 0.043 13.747
3001 3.405 2.249 51.607
3349 4.08 0.802 16.231
3305 2.472 1.998 11.045
3055 5.02 0.96 32.671
3292 3.103 2.786 22.31
3547 4.388 0.26 55.78
3507 3.727 1.479 48.293
3182 3.758 1.567 26.845
3091 2.674 0.68 37.214
3420 4.811 2.279 3.547
3432 2.773 1.108 52.44
3107 4.714 1.934 18.783
3166 3.641 0.296 36.018
3495 3.845 2.658 14.579
3530 3.005 1.626 7.082
3281 4.485 1.328 40.562
3067 2.558 2.403 23.316
3321 4.932 0.639 44.952
3370 3.494 2.538 39.766
3027 3.992 0.411 4.38
3226 2.814 1.867 49.125
3574 4.673 1.181 29.395
3459 2.33 0.151 19.76
3191 5.161 2.899 54.948
3137 3.339 0.88 10.212
3410 4.152 2.069 30.12
3397 2.347 2.765 43.56
3140 5.144 0.193 23.842
3204 3.215 2.018 41.076
3456 4.275 1.028 5.701
3570 3.43 0.746 14.905
3239 4.056 2.3 34.827
3030 2.984 1.411 17.577
3357 4.503 1.547 52.78
3337 3.174 1.288 30.466
3061 4.316 1.763 9.013
3265 2.494 0.494 53.763
