# Teff logg B vsini
5996 5.059 0.819 12.292
3797 3.097 1.734 50.05
4728 4.397 0.678 24.757
6536 2.447 2.812 35.017
6499 4.123 2.225 41.311
4299 2.909 1.263 17.196
3228 4.586 2.272 53.766
5037 3.383 0.278 2.148
5362 4.304 2.442 20.681
3437 2.353 0.076 37.814
4100 5.152 2.02 5.646
6166 3.191 1.435 50.28
6860 4.866 0.473 46.673
4933 3.664 2.98 15.682
3598 3.842 0.988 31.626
5665 2.627 1.527 28.134
5594 3.934 0.133 56.842
3668 2.722 2.595 5.225
4865 4.772 1.4 41.807
6930 3.572 1.892 17.691
6097 5.248 2.851 23.993
4171 3.284 0.437 34.253
3365 4.211 1.68 8.947
5432 2.258 1.046 46.705
5233 4.678 1.862 30.863
3034 3.478 0.855 27.37
4494 4.027 2.659 43.327
6303 2.816 0.621 12.337
6731 4.491 1.205 8.723
4531 2.539 2.071 53.358
3993 4.967 0.315 21.176
5802 3.002 2.4 38.309
5824 4.325 1.972 48.236
3875 2.52 1.481 10.476
4587 4.987 2.488 33.205
6645 3.169 0.027 22.947
6328 4.517 0.943 18.792
4377 3.451 1.575 42.909
3088 4.054 0.521 3.749
5147 2.978 2.934 55.364
5440 5.08 0.724 39.411
3265 3.263 2.764 22.277
4209 4.232 0.771 51.88
6025 2.425 1.779 7.246
6938 3.773 2.32 13.867
4761 2.696 0.233 44.859
3708 4.798 2.179 26.324
5525 3.733 1.311 29.815
5703 4.7 2.704 3.626
3527 3.644 0.572 55.241
4943 3.862 1.814 16.095
6758 2.793 0.901 40.212
6206 4.142 0.363 36.064
4030 2.326 2.354 25.805
3443 5.179 1.16 48.52
5260 3.353 2.12 10.76
5092 3.955 1.351 29.183
3144 2.888 1.937 32.673
4322 4.607 0.179 14.151
6381 3.55 2.547 45.143
6590 4.898 1.634 51.757
4640 3.071 1.094 7.124
3821 4.422 2.9 36.714
5880 2.608 0.392 19.579
5907 4.069 2.956 32.267
3857 2.962 0.494 28.776
4676 4.543 1.502 45.596
6617 3.426 1.01 14.604
6409 5.007 0.048 6.724
4357 3.149 2.462 51.358
3178 4.357 1.406 20.039
5120 2.486 2.04 37.173
5295 4.825 1.239 54.842
3471 3.707 2.246 3.227
4058 3.787 0.254 40.672
6241 2.681 2.293 16.554
6794 4.263 1.706 25.399
4970 2.393 0.839 35.657
3554 5.102 2.783 11.213
5739 3.242 0.698 48.974
5559 5.194 2.094 21.823
3736 3.337 1.179 38.958
4789 4.168 2.423 7.653
6972 2.301 0.289 52.285
6061 3.882 0.873 44.4
4236 2.774 1.835 13.407
3292 4.732 0.639 30.213
5476 3.611 2.632 26.724
5173 4.45 0.459 10.017
3123 2.582 2.826 47.776
4413 4.912 1.069 23.346
6354 3.056 1.654 33.604
6673 4.638 2.613 42.455
4622 3.518 0.107 18.339
3910 3.977 1.911 55.77
5852 2.867 1.372 4.155
5766 4.565 0.206 26.965
3966 3.404 2.338 30.456
4504 4.091 1.284 12.79
6695 2.94 2.197 43.781
6268 4.382 2.739 52.958
4466 2.461 0.747 8.323
3007 5.032 1.754 38.769
5198 3.124 0.794 21.636
5404 3.809 1.548 4.825
3330 2.66 0.962 56.442
4136 4.847 2.907 18.152
6069 3.684 0.539 42.267
6903 5.127 1.455 33.847
4829 3.217 1.995 23.587
3632 4.288 0.002 47.158
5567 2.368 2.51 9.4
5638 4.19 1.114 37.361
3564 2.279 1.606 20.228
4899 5.216 0.411 50.687
6832 3.315 2.872 6.052
6139 4.757 1.959 15.223
4064 3.586 1.326 46.213
3401 3.907 2.568 28.533
5335 2.749 0.155 32.026
5002 4.934 2.374 49.59
3202 3.035 0.334 11.832
4272 4.472 2.14 35.416
6464 2.56 1.131 25.157
6501 4.002 0.593 16.743
4700 2.842 2.68 40.859
3769 4.663 0.922 2.554
5961 3.493 1.79 54.171
5943 4.23 0.656 5.83
3760 2.426 2.648 50.463
4706 5.067 0.89 20.873
6530 3.276 1.85 38.008
6443 4.787 2.435 31.392
4259 3.744 0.303 27.902
3203 3.751 2.107 46.424
5027 2.718 1.193 15.431
5321 4.974 1.904 24.511
3380 3.182 1.364 34.769
4090 4.323 2.607 12.055
6140 2.521 0.098 49.814
6822 4.032 1.058 53.961
4881 3.0 1.645 2.345
3592 4.507 0.448 41.492
5644 3.462 2.816 17.375
5588 4.605 1.423 43.565
3647 3.551 2.056 12.573
4827 3.942 0.064 31.108
6878 2.901 2.478 27.618
6087 4.412 1.515 20.996
4145 2.619 1.023 38.13
3324 4.876 2.968 8.527
5375 3.093 0.508 53.16
5208 3.849 2.777 41.615
3025 2.807 0.69 17.497
4438 4.698 1.699 56.658
6262 3.646 0.831 5.043
6709 5.157 0.243 9.196
4525 3.375 2.283 46.956
3940 4.132 1.228 24.228
5765 2.337 2.237 34.485
5865 5.136 2.559 52.06
3932 3.207 0.144 7.425
4597 4.299 1.949 39.606
6671 2.357 1.316 22.474
6365 3.823 0.403 26.086
4430 2.646 2.865 29.579
3094 4.859 1.106 13.621
5168 3.672 1.599 44.611
5493 4.392 0.936 32.955
3302 2.452 1.802 22.696
4231 5.043 0.607 48.002
6031 3.113 2.693 10.244
6994 4.579 2.155 3.941
4803 3.39 1.148 55.558
3733 4.103 2.389 18.975
5535 2.928 0.351 43.091
5728 4.011 1.744 14.385
3537 2.833 0.782 45.375
4999 4.674 2.729 29.432
6799 3.482 0.736 32.924
6228 4.948 1.276 36.53
4036 3.021 2.191 19.397
3496 4.484 0.198 51.564
5297 2.547 2.332 6.93
5098 4.767 0.016 15.899
3165 3.577 2.523 40.014
4359 3.918 1.469 3.445
6433 2.738 2.007 55.063
6600 4.204 2.923 48.766
4666 2.265 0.556 11.008
3862 5.228 1.563 36.301
5937 3.303 0.978 26.041
5901 4.834 1.666 40.421
3835 3.698 1.034 16.305
4639 3.807 2.837 54.609
6564 2.661 0.424 2.993
6399 4.266 1.384 11.407
4332 2.39 1.875 49.166
3138 5.116 0.118 25.581
5064 3.228 2.578 35.841
5269 4.089 0.324 45.775
3461 2.942 2.411 14.785
4001 4.552 1.215 32.464
6200 3.417 2.082 28.971
6773 5.022 2.667 19.803
4964 3.135 0.628 36.936
3502 4.36 1.87 6.477
5701 2.483 0.861 51.112
5507 4.459 2.258 23.149
3698 2.573 0.266 33.409
4768 4.932 2.211 9.838
6966 3.036 1.251 47.596
6004 4.641 0.663 56.018
4195 3.515 2.795 4.4
3266 3.991 0.804 42.691
5466 2.853 1.717 18.576
5132 5.214 0.998 7.885
3067 3.317 1.538 52.52
4403 4.177 0.482 22.074
6329 2.292 2.991 39.207
6636 3.897 2.028 30.031
4569 2.76 1.442 26.54
3904 4.735 2.451 44.206
5830 3.608 0.083 13.215
5792 3.782 1.167 17.904
3976 2.686 2.128 42.021
4561 4.809 0.369 4.589
6736 3.723 2.362 56.205
6289 5.095 1.825 47.355
4472 3.249 0.91 9.596
3060 4.244 2.715 34.026
5235 2.412 0.582 23.767
5410 4.527 2.883 12.972
3352 3.442 0.376 43.965
4173 4.064 1.617 27.158
6122 2.966 1.079 30.648
6913 4.338 0.167 38.537
4854 2.505 2.533 21.402
3674 5.0 1.338 52.707
5623 3.157 1.923 8.074
5679 4.907 0.528 35.222
3620 3.061 2.942 24.965
4909 4.434 0.95 49.408
6857 2.598 1.583 11.648
6176 3.97 2.499 2.805
4117 2.874 0.037 54.42
3407 4.619 1.983 16.976
5357 3.537 1.49 41.093
5054 4.152 2.162 50.923
3239 2.317 1.296 6.289
4294 5.189 2.303 37.608
6470 3.341 0.218 20.474
6558 4.713 0.758 28.355
4741 3.63 1.765 31.846
3795 3.875 0.712 15.025
5971 2.782 2.75 46.017
5976 3.871 2.122 23.868
3786 2.785 1.16 34.127
4747 4.72 2.357 9.684
6548 3.623 0.364 47.442
6480 5.181 0.904 56.32
4288 3.349 1.819 4.703
3248 4.157 0.576 42.148
5049 2.312 2.71 18.032
5350 4.627 0.382 8.201
3417 3.529 2.889 52.836
4112 3.964 1.085 21.517
6185 2.88 1.624 38.649
6848 4.438 2.539 30.737
4914 2.594 0.172 27.244
3610 4.901 1.93 44.064
5685 3.068 1.344 13.074
5613 4.996 2.949 40.977
3680 3.16 0.534 16.862
4845 4.345 1.589 54.294
6919 2.498 0.955 2.677
6116 4.057 0.043 11.549
4183 2.974 2.505 49.306
3345 4.532 1.496 24.876
5420 3.437 1.989 35.136
5245 4.252 1.29 45.93
3054 2.404 2.157 14.939
4483 5.089 0.212 31.745
6283 3.255 2.297 28.253
6743 4.813 1.76 20.347
4550 3.719 0.753 37.48
3981 3.776 2.744 6.175
5782 2.693 0.705 50.809
5836 4.745 1.04 35.753
3895 3.599 1.671 25.495
4575 3.896 0.43 49.065
6626 2.76 2.844 11.306
6339 4.179 1.881 2.865
4397 2.29 1.39 54.481
3076 5.203 2.584 16.191
5127 3.328 0.124 40.307
5460 3.989 2.405 50.996
3277 2.855 0.318 6.364
4190 4.652 2.077 36.81
6013 3.504 1.209 19.674
6957 4.923 0.621 28.872
4773 3.046 2.661 32.362
3688 4.46 0.856 14.696
5513 2.572 1.865 45.689
5691 4.37 0.261 18.703
3508 2.474 2.252 42.82
4954 5.021 1.245 4.516
6778 3.135 2.205 56.131
6194 4.554 2.79 47.684
4011 3.415 0.657 9.924
